subject #,segment #,_dbrain_18cluster_LORB,_dbrain_18cluster_RORB,_dbrain_18cluster_LP,_dbrain_18cluster_RP,_dbrain_18cluster_LIF,_dbrain_18cluster_RIF,_dbrain_18cluster_LPF,_dbrain_18cluster_RPF,_dbrain_18cluster_LT,_dbrain_18cluster_RT,_dbrain_18cluster_LIT,_dbrain_18cluster_RIT,_dbrain_18cluster_LTP,_dbrain_18cluster_RTP,_dbrain_18cluster_LO,_dbrain_18cluster_RO,_dbrain_18cluster_LIO,_dbrain_18cluster_RIO
00315,Segment 11,-4.21076,-10.10633,2.10534,-1.94782,3.89354,0.16799,-3.20148,-7.74207,2.38036,-5.02042,4.74742,5.26568,5.61556,2.01729,5.66330,4.68487,4.86568,5.16256
00315,Segment 12,-1.79682,-1.47298,-0.88295,-0.64510,1.49390,0.61806,-4.20881,-1.80394,-1.36294,1.34725,2.05085,2.37694,0.88230,0.30022,2.41384,2.64972,2.79780,1.85920
00315,Segment 13,2.98625,1.91496,-4.48488,-3.36244,4.28518,5.76699,-0.43501,-0.85940,0.47068,1.69932,0.87893,3.46892,-3.24836,-0.41097,-2.08036,-1.26596,-0.94623,0.27321
00315,Segment 14,-3.69629,-2.61120,-3.30285,0.47414,2.57688,4.48792,-6.65826,-3.59308,-1.35749,3.22239,0.35122,6.27963,-0.42277,4.66433,1.93867,3.31437,0.83338,2.77212
00315,Segment 15,-4.99505,-0.83773,0.53152,3.85647,-3.11393,-0.53832,-3.70281,-0.41727,-5.86483,-0.33707,-1.62135,1.64883,-0.70037,3.64424,4.07879,5.22756,2.28027,4.38986
00315,Segment 16,4.56317,3.89944,4.30621,3.79604,-5.00393,-7.55927,8.22187,5.99841,0.34444,-1.87471,-6.03049,-6.39060,-2.94182,-3.92171,-2.76819,-2.93724,-6.62841,-6.60124
00315,Segment 17,0.63730,3.05998,-1.70280,-1.41899,0.95577,4.78352,-1.47665,-0.33266,-1.96695,1.51871,-0.55773,4.07501,-1.98566,0.19175,-1.37928,-0.73238,-2.86396,0.30451
00315,Segment 18,-1.25242,-1.07784,1.79187,0.19317,-2.73670,-0.67577,0.04985,-1.74736,-0.45777,-1.60596,-1.89514,1.46207,-0.42901,1.29155,2.30518,3.61843,-0.27289,1.56786
00315,Segment 19,-5.00796,-7.56831,-2.38382,-2.81832,3.40472,-0.36950,-7.21256,-7.93070,1.29671,-1.45711,10.35042,1.22811,9.66976,2.61673,7.80035,3.91886,11.24427,8.54347
00315,Segment 20,1.15453,0.87837,0.59520,-1.28450,1.45949,3.29866,2.11416,0.17262,3.22402,2.12968,-3.03962,1.89285,-2.70455,-0.90236,-3.61612,-2.80689,-6.29292,-4.24765
